JugadorX,JugadorO,X,O,Empates
dumb,dumb,1000,0,0
dumb,random,797,164,39
dumb,agressive,0,797,203
dumb,minimax,0,1000,0
dumb,rule_based,0,1000,0
random,dumb,522,443,35
random,random,584,277,139
random,agressive,66,691,243
random,minimax,0,808,192
random,rule_based,7,821,172
agressive,dumb,977,18,5
agressive,random,883,16,101
agressive,agressive,319,166,515
agressive,minimax,0,205,795
agressive,rule_based,91,121,788
minimax,dumb,1000,0,0
minimax,random,997,0,3
minimax,agressive,873,0,127
minimax,minimax,0,0,1000
minimax,rule_based,0,0,1000
rule_based,dumb,1000,0,0
rule_based,random,934,0,66
rule_based,agressive,618,0,382
rule_based,minimax,0,0,1000
rule_based,rule_based,0,0,1000
